manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
Kia,Optima,2014,Алматы,седан,144840.0,автомат,слева,серебристый,передний привод,6800000,2.4,бензин
ГАЗ,3110 (Волга),1998,Нур-Султан (Астана),седан,79000.0,механика,слева,серый,задний привод,1100000,2.3,бензин
Mazda,626,1991,Алматы,универсал,7777777.0,механика,слева,серебристый,передний привод,430000,2.0,бензин
BMW,735,2004,Алматы,седан,,автомат,слева,зеленый,задний привод,3800000,3.6,бензин
Lexus,LX 570,2018,Кызылорда,внедорожник,43000.0,автомат,слева,белый металлик,полный привод,44000000,5.7,бензин
Toyota,Highlander,2011,Нур-Султан (Астана),внедорожник,440000.0,автомат,слева,серый металлик,полный привод,7600000,3.5,бензин
Renault,Logan,2020,Алматы,седан,,автомат,слева,серый металлик,передний привод,7625000,1.6,бензин
Nissan,Pathfinder,2008,Алматы,внедорожник,205000.0,автомат,слева,черный металлик,полный привод,7000000,2.5,дизель
Daewoo,Gentra,2014,Кызылорда,седан,90000.0,автомат,слева,белый,передний привод,3400000,1.6,бензин
Honda,Element,2003,Усть-Каменогорск,кроссовер,199850.0,автомат,слева,черный,полный привод,4400000,2.4,бензин
Toyota,Urban Cruiser,2008,Нур-Султан (Астана),хэтчбек,180000.0,автомат,слева,черный,передний привод,4000000,1.8,бензин
Renault,Kaptur,2020,Костанай,кроссовер,,автомат,слева,,полный привод,12407000,1.3,бензин
Nissan,Qashqai,2013,Костанай,кроссовер,,автомат,слева,серебристый,передний привод,5500000,1.6,бензин
Mercedes-Benz,S 550,2007,Кызылорда,седан,163000.0,автомат,слева,белый,полный привод,7500000,5.5,бензин
Renault,Kaptur,2020,Нур-Султан (Астана),кроссовер,,механика,слева,,передний привод,10342000,1.6,бензин
Toyota,Crown Majesta,1994,Петропавловск,седан,,автомат,справа,черный,задний привод,2200000,3.0,бензин
Hyundai,Accent,2011,Алматы,седан,125000.0,автомат,слева,серый металлик,передний привод,3800000,1.6,бензин
Renault,Sandero,2020,Шымкент,хэтчбек,,механика,слева,белый,передний привод,6696000,1.6,бензин
Land Rover,Range Rover,2005,Караганда,внедорожник,187000.0,автомат,слева,,полный привод,7000000,4.2,бензин
Renault,Duster,2020,Актобе,кроссовер,,автомат,слева,белый,полный привод,9412000,2.0,бензин
Mercedes-Benz,GL 550,2008,Алматы,внедорожник,150000.0,автомат,слева,белый,полный привод,8500000,5.5,бензин
Opel,Astra,1998,Шымкент,универсал,,механика,слева,белый,передний привод,2200000,1.8,бензин
Toyota,Land Cruiser,2005,Шымкент,внедорожник,420000.0,автомат,слева,черный металлик,полный привод,9800000,4.7,бензин
ВАЗ (Lada),2172 (хэтчбек),2014,Кокшетау,хэтчбек,115000.0,механика,слева,белый,передний привод,2500000,1.6,бензин
Lexus,LX 570,2010,Нур-Султан (Астана),внедорожник,174000.0,автомат,слева,белый,полный привод,16800000,5.7,бензин
Hyundai,Tucson,2014,Нур-Султан (Астана),кроссовер,96000.0,автомат,слева,белый,полный привод,6490000,2.0,бензин
Toyota,Windom,1996,Шымкент,седан,,автомат,справа,зеленый металлик,передний привод,2500000,2.5,газ-бензин
Renault,Arkana,2020,Алматы,кроссовер,,автомат,слева,,передний привод,11347000,1.6,бензин
Ford,Explorer,2006,Атырау,внедорожник,188000.0,автомат,слева,черный,полный привод,4800000,4.0,бензин
Toyota,Camry,2019,Алматы,седан,,автомат,слева,белый,передний привод,13000000,2.5,бензин
ВАЗ (Lada),2101,1981,Турара Рыскулова,седан,,механика,слева,жёлтый металлик,полный привод,600000,1.6,бензин
Kia,Rio,2014,Шымкент,хэтчбек,34120.0,автомат,слева,серебристый металлик,передний привод,5000000,1.4,бензин
Hyundai,Sonata,2006,Уральск,седан,234800.0,автомат,слева,синий металлик,передний привод,2400000,2.4,бензин
Hyundai,Tucson,2018,Нур-Султан (Астана),кроссовер,56000.0,автомат,слева,белый,передний привод,10290000,2.0,бензин
Nissan,Qashqai,2013,Нур-Султан (Астана),кроссовер,110000.0,автомат,слева,белый,передний привод,5400000,1.6,бензин
