manufacturer,model,year,city,body,mileage,transmission,wheel,color,drive,price,volume,fuel
BMW,M5,2019,Атырау,седан,27000.0,автомат,слева,черный металлик,полный привод,51500000,4.4,бензин
Toyota,Corolla,2018,Кульсары,седан,26000.0,механика,слева,белый металлик,передний привод,7100000,1.4,бензин
Ford,Escape,2004,Актау,кроссовер,141000.0,автомат,слева,белый,полный привод,3700000,3.0,газ-бензин
ВАЗ (Lada),2121 Нива,2002,Алматы,внедорожник,177000.0,механика,слева,белый металлик,полный привод,650000,1.7,бензин
BMW,520,1994,Кызылорда,седан,,механика,слева,черный,задний привод,1450000,2.0,газ-бензин
Daewoo,Nexia,2008,Жанаозен,седан,280000.0,механика,слева,золотистый,передний привод,950000,1.5,газ-бензин
Jeep,Wrangler,2012,Нур-Султан (Астана),внедорожник,65255.0,автомат,слева,черный,,28800000,3.6,бензин
ВАЗ (Lada),2190 (седан),2012,Актобе,седан,135000.0,механика,слева,вишня,передний привод,1320000,1.5,газ-бензин
ВАЗ (Lada),2170 (седан),2008,Уральск,седан,136000.0,механика,слева,черный,передний привод,980000,1.6,бензин
Toyota,Land Cruiser,2001,Усть-Каменогорск,внедорожник,347000.0,автомат,слева,серебристый металлик,полный привод,7100000,4.7,бензин
Toyota,Camry,2008,Актау,седан,234502.0,автомат,слева,черный,,6600000,2.4,газ-бензин
Mercedes-Benz,E 230,1989,Сарыагаш,седан,,механика,слева,белый,задний привод,1000000,2.3,бензин
ВАЗ (Lada),2114 (хэтчбек),2012,Шымкент,седан,117000.0,механика,слева,сиреневый,передний привод,930000,1.6,бензин
Mitsubishi,Galant,1992,Абай (Абайский р-н),хэтчбек,352800.0,механика,слева,зеленый,передний привод,730000,1.8,бензин
Toyota,Land Cruiser Prado,2005,Тараз,внедорожник,260600.0,автомат,слева,серебристый,,11000000,4.0,газ-бензин
Volkswagen,Passat,1991,Караганда,универсал,254000.0,механика,слева,черный металлик,передний привод,890000,1.8,бензин
ВАЗ (Lada),2112 (хэтчбек),2004,Уральск,хэтчбек,,механика,слева,серебристый,передний привод,750000,1.5,газ-бензин
Daewoo,Matiz,2012,Атырау,хэтчбек,81000.0,автомат,слева,бежевый,передний привод,1700000,0.8,бензин
Toyota,Hilux,2015,Актау,внедорожник,182000.0,автомат,слева,серый металлик,полный привод,12800000,3.0,дизель
Lexus,RX 300,1999,Талдыкорган,кроссовер,222000.0,автомат,слева,черный металлик,полный привод,4400000,3.0,бензин
Audi,100,1992,Аршалы,седан,,механика,слева,синий,передний привод,1300000,2.3,бензин
Mercedes-Benz,E 230,1990,Кызылорда,седан,200.0,механика,слева,золотистый металлик,задний привод,1300000,2.3,бензин
Ravon,Nexia R3,2019,Жезкент,седан,26000.0,автомат,слева,белый,передний привод,4200000,1.5,бензин
Daewoo,Nexia,2008,Алматы,седан,140000.0,механика,слева,серебристый металлик,передний привод,940000,1.5,бензин
Mercedes-Benz,E 200,1997,Актобе,седан,,автомат,слева,вишня,задний привод,1800000,2.0,бензин
BMW,X5,2002,Караганда,кроссовер,250000.0,автомат,слева,черный металлик,полный привод,3550000,4.4,бензин
ВАЗ (Lada),2171 (универсал),2014,Кызылорда,универсал,300000.0,механика,слева,белый,передний привод,2000000,1.6,бензин
Toyota,Hilux Surf,1996,Алматы,внедорожник,,автомат,слева,серый,полный привод,3000000,2.7,бензин
Chevrolet,Aveo,2014,Шымкент,седан,186000.0,автомат,слева,серебристый металлик,передний привод,3000000,1.6,бензин
Kia,Rio,2011,Уральск,хэтчбек,197000.0,автомат,слева,белый,передний привод,2200000,1.4,бензин
ВАЗ (Lada),2115 (седан),2006,Уральск,седан,,механика,слева,зеленый,передний привод,680000,1.6,бензин
Mercedes-Benz,E 230,1989,Алматы,седан,,автомат,слева,синий,задний привод,1500000,2.3,бензин
Volkswagen,Passat,1991,Шымкент,универсал,350000.0,механика,слева,серебристый металлик,передний привод,800000,1.8,бензин
Opel,Astra,1995,Актобе,универсал,,механика,слева,серебристый,передний привод,1100000,1.6,бензин
Volkswagen,Vento,1993,Шымкент,седан,,механика,слева,белый металлик,передний привод,1200000,1.8,бензин
ВАЗ (Lada),Largus,2014,Актобе,универсал,147000.0,механика,слева,белый,передний привод,4000000,1.6,газ-бензин
ВАЗ (Lada),2115 (седан),2007,Актобе,седан,105000.0,механика,слева,бордовый металлик,передний привод,690000,1.6,бензин
Toyota,Avalon,1996,Нур-Султан (Астана),седан,111111.0,автомат,слева,черный металлик,передний привод,1770000,3.0,бензин
Mercedes-Benz,S 320,2000,Атырау,седан,150.0,автомат,слева,белый металлик,задний привод,2750000,3.2,газ-бензин
BMW,X5,2007,Алматы,внедорожник,,автомат,слева,черный металлик,полный привод,7000000,3.0,бензин
Hyundai,i40,2017,Уральск,седан,50000.0,автомат,слева,коричневый,передний привод,7500000,2.0,бензин
Mercedes-Benz,190,1989,Алматы,седан,,механика,слева,серебристый,задний привод,830000,2.3,бензин
Opel,Vectra,1991,Шымкент,седан,,механика,слева,синий металлик,передний привод,860000,1.6,бензин
Mercedes-Benz,E 250,1992,Караганда,седан,111.0,механика,слева,белый,задний привод,1200000,2.5,дизель
Toyota,Estima,2008,Кызылорда,минивэн,157000.0,автомат,справа,белый,полный привод,3400000,2.4,бензин
Toyota,Camry,2005,Алматы,седан,338000.0,автомат,слева,серый,передний привод,5000000,2.4,бензин
Chevrolet,Cobalt,2013,Лисаковск,седан,74000.0,механика,слева,серый металлик,передний привод,3300000,1.5,бензин
Opel,Vectra,1998,Шымкент,седан,222222.0,механика,слева,синий металлик,передний привод,1400000,1.8,бензин
Honda,Odyssey,1997,Алматы,минивэн,268000.0,автомат,справа,серебристый,передний привод,1850000,3.0,бензин
Nissan,Cefiro,1999,Нур-Султан (Астана),седан,,автомат,справа,белый,передний привод,1500000,2.0,бензин
Toyota,Camry,2015,Нур-Султан (Астана),седан,45500.0,автомат,слева,белый,,12500000,3.5,бензин
Honda,CR-V,2007,Актобе,кроссовер,180000.0,автомат,слева,зеленый металлик,передний привод,6200000,2.4,газ-бензин
ВАЗ (Lada),2110 (седан),1999,Костанай,седан,,механика,слева,зеленый,передний привод,670000,1.5,бензин
ВАЗ (Lada),21099 (седан),1998,Караганда,седан,,механика,слева,красный,передний привод,500000,1.3,бензин
Nissan,Almera,2014,Шахтинск,седан,28000.0,механика,слева,,передний привод,3700000,1.6,бензин
Nissan,Primera,1998,Актобе,седан,460000.0,механика,слева,серый,передний привод,1100000,1.6,газ-бензин
ВАЗ (Lada),2110 (седан),2004,Атырау,седан,200000.0,механика,слева,зеленый металлик,передний привод,820000,1.6,бензин
Renault,Duster,2015,Кокшетау,кроссовер,240000.0,механика,слева,белый,передний привод,3900000,1.6,бензин
Toyota,Camry,2003,Павлодар,седан,,автомат,слева,черный,передний привод,4450000,2.4,бензин
BMW,520,1993,Семей,седан,333000.0,механика,слева,вишня,задний привод,1600000,2.0,бензин
Toyota,Corolla,2012,Алматы,седан,166000.0,автомат,слева,белый,передний привод,5800000,1.6,бензин
ВАЗ (Lada),2114 (хэтчбек),2008,Костанай,хэтчбек,150000.0,механика,слева,зеленый металлик,передний привод,620000,1.5,газ-бензин
Mercedes-Benz,E 200,1995,Караганда,седан,338000.0,автомат,слева,серебристый металлик,задний привод,2300000,2.0,бензин
Lexus,RX 300,2002,Алматы,кроссовер,,автомат,слева,синий,полный привод,5500000,3.0,бензин
Daewoo,Matiz,2011,Нур-Султан (Астана),хэтчбек,1750000.0,механика,слева,серебристый металлик,передний привод,1430000,0.8,бензин
Mercedes-Benz,S 320,1992,Актау,седан,2240000.0,автомат,слева,черный,задний привод,2300000,3.2,газ-бензин
Audi,A6,1994,Уральск,седан,,механика,слева,черный,передний привод,1000000,2.6,бензин
Mitsubishi,Pajero,2002,Актау,внедорожник,362000.0,автомат,слева,золотистый,полный привод,4500000,3.0,газ-бензин
Toyota,Camry,1997,Алматы,седан,350000.0,механика,слева,зеленый,передний привод,1950000,2.2,бензин
ВАЗ (Lada),2191 (лифтбек),2018,Уральск,хэтчбек,,автомат,слева,белый металлик,передний привод,2550000,1.5,бензин
Hyundai,Accent,2013,Шымкент,хэтчбек,121000.0,автомат,слева,бежевый металлик,передний привод,4440000,1.6,бензин
Mazda,Cronos,1992,Алматы,седан,,механика,слева,черный,передний привод,1100000,2.0,бензин
Honda,Rafaga,1994,Кокшетау,седан,54000.0,автомат,справа,жёлтый,передний привод,900000,2.5,бензин
Hyundai,Accent,2004,Саксаульский,седан,,автомат,слева,серый,передний привод,1450000,1.5,бензин
Subaru,Forester,1998,Шымкент,кроссовер,40000.0,автомат,слева,красный металлик,полный привод,3200000,2.5,бензин
ВАЗ (Lada),2107,2007,Атырау,седан,92555.0,механика,слева,белый,задний привод,500000,1.6,бензин
Nissan,Qashqai,2013,Кульсары,кроссовер,117000.0,автомат,слева,белый,передний привод,5300000,1.6,бензин
Daewoo,Nexia,2013,Шымкент,седан,128823.0,механика,слева,белый металлик,передний привод,2500000,1.5,газ-бензин
Toyota,Camry,2010,Алматы,седан,255885.0,автомат,слева,серый металлик,передний привод,4100000,2.5,бензин
Daewoo,Matiz,2009,Туркестан,седан,48000.0,механика,слева,серебристый металлик,передний привод,920000,8.0,бензин
Mercedes-Benz,E 300,1994,Алматы,седан,,автомат,слева,коричневый,задний привод,1500000,3.0,дизель
ВАЗ (Lada),2190 (седан),2020,Атырау,седан,2000.0,механика,слева,белый,,2550000,1.6,бензин
Toyota,Camry,2020,Алматы,седан,2700.0,автомат,слева,черный металлик,передний привод,18500000,2.5,бензин
Audi,A4 allroad,2012,Костанай,универсал,117500.0,автомат,слева,серый металлик,полный привод,6000000,2.0,бензин
Kia,Rio,2014,Усть-Каменогорск,седан,74000.0,автомат,слева,белый,передний привод,4800000,1.6,бензин
УАЗ,Patriot,2018,Жанаозен,внедорожник,90000.0,механика,слева,белый,полный привод,5600000,2.7,газ-бензин
ВАЗ (Lada),2114 (хэтчбек),2013,Тараз,хэтчбек,27500.0,механика,слева,белый,,2600000,1.5,бензин
Mercedes-Benz,E 220,1994,Тараз,седан,,механика,слева,коричневый металлик,задний привод,1950000,2.2,газ-бензин
Toyota,Camry,2009,Алматы,седан,273.0,автомат,слева,серый,передний привод,6600000,2.5,бензин
Volkswagen,Polo,2015,Актобе,седан,96.0,автомат,слева,серебристый металлик,передний привод,4800000,1.6,бензин
Toyota,Camry,2013,Актау,седан,128000.0,автомат,слева,серебристый,передний привод,8500000,2.5,бензин
Mazda,Cronos,1992,Алматы,седан,,механика,слева,бордовый,передний привод,700000,2.0,бензин
Toyota,Land Cruiser,2006,Нур-Султан (Астана),внедорожник,,автомат,слева,серебристый металлик,полный привод,11900000,4.7,бензин
Toyota,Harrier,1998,Алматы,кроссовер,388000.0,автомат,справа,белый,полный привод,3050000,3.0,газ-бензин
Volkswagen,Passat,1993,Уральск,седан,300.0,механика,слева,бордовый металлик,передний привод,850000,1.8,бензин
BMW,X6,2008,Алматы,кроссовер,117000.0,автомат,слева,черный металлик,полный привод,8000000,3.0,бензин
Toyota,Alphard,2006,Актобе,минивэн,160000.0,автомат,справа,белый металлик,полный привод,3400000,3.0,бензин
Kia,Optima,2018,Алматы,седан,42000.0,автомат,слева,белый,передний привод,7700000,2.0,бензин
ВАЗ (Lada),2114 (хэтчбек),2004,Караганда,хэтчбек,,механика,слева,зеленый металлик,передний привод,699000,1.5,бензин
Ford,Focus,2006,Алматы,седан,,механика,слева,серебристый,передний привод,1700000,1.6,бензин
ВАЗ (Lada),2107,2010,Актау,седан,,механика,слева,серый,задний привод,930000,1.6,бензин
ВАЗ (Lada),2110 (седан),2001,Атырау,седан,183000.0,механика,слева,серебристый,передний привод,400000,1.6,бензин
ВАЗ (Lada),2106,2006,Махамбет,седан,,механика,слева,белый,задний привод,230000,1.6,бензин
УАЗ,469,2013,Шетпе,внедорожник,91000.0,механика,слева,белый,полный привод,2900000,2.7,газ-бензин
Ravon,Nexia R3,2020,Нур-Султан (Астана),седан,,автомат,слева,бордовый,передний привод,4550000,1.5,бензин
Mitsubishi,Galant,1998,Семей,седан,200000.0,механика,слева,синий металлик,передний привод,1250000,2.0,бензин
Kia,Rio,2002,Усть-Каменогорск,универсал,280000.0,механика,слева,серебристый металлик,передний привод,2700000,1.5,бензин
Honda,Civic,1997,Актобе,седан,178000.0,автомат,справа,хамелеон,передний привод,1000000,1.6,бензин
Mercedes-Benz,S 320,1997,Алматы,седан,350000.0,автомат,слева,белый,задний привод,4700000,3.2,бензин
Subaru,Legacy,2002,Нур-Султан (Астана),седан,210000.0,автомат,справа,черный металлик,полный привод,1900000,3.0,бензин
Mitsubishi,Lancer,1991,Узынагаш,хэтчбек,,механика,слева,вишня,передний привод,550000,1.5,бензин
Toyota,RAV 4,2007,Актау,кроссовер,,автомат,слева,зеленый,полный привод,6400000,3.5,газ-бензин
ВАЗ (Lada),2010,2010,Актобе,хэтчбек,110000.0,механика,слева,серебристый,передний привод,1200000,1.6,бензин
Lifan,Solano,2014,Уральск,седан,127667.0,механика,слева,белый металлик,,1900000,1.6,бензин
Daewoo,Nexia,2006,Темиртау,седан,,механика,слева,вишня металлик,передний привод,820000,1.6,бензин
Nissan,Juke,2013,Усть-Каменогорск,хэтчбек,90000.0,механика,слева,серый,передний привод,4900000,1.6,бензин
ВАЗ (Lada),2115 (седан),2007,Щучинск,седан,,механика,слева,серый,передний привод,750000,1.6,бензин
ВАЗ (Lada),2114 (хэтчбек),2008,Байконыр,хэтчбек,200020.0,механика,слева,хамелеон металлик,передний привод,800000,1.6,бензин
Toyota,Alphard,2003,Караганда,минивэн,103000.0,автомат,справа,серебристый,передний привод,3650000,3.0,бензин
Daewoo,Matiz,2011,Нур-Султан (Астана),хэтчбек,,механика,слева,вишня,передний привод,1350000,0.8,бензин
Toyota,Camry,2018,Алматы,седан,13800.0,автомат,слева,черный металлик,,13500000,2.5,бензин
Lexus,RX 300,1999,Актау,кроссовер,,автомат,слева,серый,полный привод,4100000,3.0,бензин
Opel,Astra,1994,Актобе,седан,,механика,слева,вишня,передний привод,750000,1.6,газ-бензин
ВАЗ (Lada),2170 (седан),2007,Шымкент,седан,123456.0,механика,слева,черный металлик,передний привод,1200000,1.6,бензин
Toyota,Camry,2009,Уральск,седан,170000.0,автомат,слева,черный,передний привод,5200000,2.5,газ-бензин
Daewoo,Nexia,2006,Темиртау,седан,,механика,слева,вишня металлик,передний привод,850000,1.6,бензин
ГАЗ,2410 (Волга),1991,Темиртау,седан,,механика,слева,серебристый,задний привод,500000,2.4,бензин
Mercedes-Benz,E 230,1992,Алматы,седан,,автомат,слева,синий металлик,задний привод,1380000,2.3,бензин
Mercedes-Benz,E 230,1990,Алматы,седан,,автомат,слева,синий металлик,задний привод,2100000,2.3,бензин
Mazda,626,1996,Алматы,седан,319712.0,механика,слева,зеленый,передний привод,1570000,2.0,бензин
Subaru,Legacy,1999,Алматы,универсал,,автомат,справа,серебристый,полный привод,2490000,2.5,бензин
Mercedes-Benz,E 230,1991,Алматы,седан,,механика,слева,серый,задний привод,1111111,2.3,бензин
ВАЗ (Lada),2110 (седан),2000,Семей,седан,180.0,механика,слева,зеленый,передний привод,1000000,1.5,бензин
Audi,A6,1994,Ушарал,седан,,механика,слева,белый,передний привод,2600000,2.6,газ-бензин
ВАЗ (Lada),2114 (хэтчбек),2009,Уральск,хэтчбек,150000.0,механика,слева,серебристый,передний привод,950000,1.6,бензин
Nissan,Juke,2014,Алматы,кроссовер,68000.0,автомат,слева,серый металлик,передний привод,6200000,1.6,бензин
Mercedes-Benz,E 200,2016,Алматы,седан,25000.0,автомат,слева,серый,задний привод,16500000,2.0,бензин
Toyota,Camry,1993,Алматы,седан,,механика,слева,синий,передний привод,2000000,3.0,бензин
Toyota,Alphard,2004,Актау,минивэн,200000.0,автомат,справа,белый,передний привод,4000000,3.0,бензин
BMW,525,1991,Шымкент,седан,,механика,слева,серый металлик,задний привод,1550000,2.5,бензин
Renault,Megane,1998,Нур-Султан (Астана),хэтчбек,295.0,механика,слева,синий металлик,передний привод,1200000,1.6,бензин
Opel,Vectra,1992,Туркестан,седан,,механика,слева,синий,передний привод,700000,1.6,бензин
Mazda,626,1988,Ленгер,хэтчбек,,механика,слева,красный,передний привод,750000,2.2,бензин
Mercedes-Benz,C 200,2006,Алматы,седан,228000.0,автомат,слева,серый,задний привод,3600000,1.8,бензин
ВАЗ (Lada),2101,1981,Иртышск,седан,,механика,слева,белый металлик,задний привод,370000,1.3,бензин
ВАЗ (Lada),2111 (универсал),2004,Усть-Каменогорск,универсал,,механика,слева,серебристый,передний привод,1100000,1.6,бензин
ВАЗ (Lada),2112 (хэтчбек),2007,Атырау,хэтчбек,133600.0,механика,слева,серый,передний привод,700000,1.6,бензин
BMW,520,1991,Алматы,седан,,автомат,слева,серебристый,задний привод,1800000,3.0,бензин
ВАЗ (Lada),2114 (хэтчбек),2013,Нур-Султан (Астана),хэтчбек,,механика,слева,серебристый,передний привод,900000,1.6,бензин
Audi,80,1994,Сатпаев,седан,300000.0,механика,слева,,передний привод,1200000,2.0,бензин
Kia,Spectra,2008,Актобе,седан,253000.0,механика,слева,золотистый металлик,передний привод,1500000,1.6,бензин
Volkswagen,Passat,1990,Караганда,универсал,300000.0,механика,слева,черный,передний привод,790000,1.8,бензин
ВАЗ (Lada),2115 (седан),2006,Уральск,седан,,механика,слева,серебристый металлик,,580000,1.5,бензин
Hyundai,Sonata,2014,Талдыкорган,седан,82064.0,автомат,слева,белый,передний привод,6500000,2.0,бензин
Volkswagen,Polo,2015,Актобе,седан,96.0,автомат,слева,серебристый металлик,передний привод,4800000,1.6,бензин
Toyota,Camry,2014,Туркестан,седан,,автомат,слева,белый,передний привод,6500000,2.5,бензин
ВАЗ (Lada),21099 (седан),2003,Актобе,седан,222222.0,механика,слева,серебристый металлик,передний привод,490000,1.5,газ-бензин
ВАЗ (Lada),2107,2008,Кызылорда,седан,111111.0,механика,слева,бежевый,,850000,1.6,бензин
Honda,Shuttle,1995,Нур-Султан (Астана),минивэн,,автомат,слева,зеленый металлик,передний привод,3000000,2.2,бензин
Mercedes-Benz,E 200,1990,Алматы,седан,,механика,слева,синий,задний привод,850000,2.0,бензин
Nissan,Cefiro,1994,Кокшетау,седан,165000.0,автомат,справа,синий металлик,передний привод,1500000,2.0,бензин
Daewoo,Nexia,2012,Кандыагаш,седан,150000.0,механика,слева,красный,передний привод,1200000,1.5,газ-бензин
Toyota,Land Cruiser Prado,2008,Алматы,внедорожник,217000.0,автомат,слева,золотистый металлик,полный привод,11500000,4.0,бензин
Audi,80,1992,Алматы,седан,,механика,слева,черный металлик,передний привод,750000,1.8,бензин
Lexus,LX 570,2010,Алматы,внедорожник,120000.0,автомат,слева,белый металлик,полный привод,18500000,5.7,бензин
Daewoo,Nexia,2007,Жанакорган,седан,,механика,слева,вишня металлик,передний привод,710000,1.6,бензин
Toyota,Previa,1991,Алматы,минивэн,380568.0,механика,слева,бордовый металлик,задний привод,1800000,2.4,бензин
ВАЗ (Lada),2172 (хэтчбек),2011,Актобе,хэтчбек,,механика,слева,черный,передний привод,1600000,1.6,бензин
Daewoo,Nexia,2011,Сарыагаш,седан,,механика,слева,белый,передний привод,1900000,1.5,бензин
Mercedes-Benz,S 500,2013,Нур-Султан (Астана),седан,67000.0,автомат,слева,черный металлик,задний привод,23500000,4.7,бензин
Nissan,Maxima,2001,Атырау,седан,,автомат,слева,черный металлик,передний привод,1850000,2.0,бензин
Chevrolet,Niva,2012,Алматы,внедорожник,84000.0,механика,слева,серебристый металлик,полный привод,2700000,1.7,бензин
ВАЗ (Lada),2106,1993,Аксукент,седан,116920.0,механика,слева,белый металлик,задний привод,900000,1.5,бензин
ВАЗ (Lada),2114 (хэтчбек),2007,Нур-Султан (Астана),хэтчбек,123456.0,механика,слева,черный,передний привод,1000000,1.6,бензин
ВАЗ (Lada),2110 (седан),2002,Уральск,седан,360000.0,механика,слева,красный,передний привод,650000,1.5,бензин
Mercedes-Benz,190,1989,Кокшетау,седан,3500000.0,механика,слева,серый,задний привод,700000,2.0,бензин
Nissan,Terrano,1996,Коктобе,внедорожник,200000.0,автомат,справа,зеленый,полный привод,2000000,3.3,бензин
Toyota,Corolla Verso,2003,Алматы,универсал,,механика,слева,золотистый металлик,передний привод,3600000,1.8,бензин
ВАЗ (Lada),2170 (седан),2013,Актобе,седан,172484.0,механика,слева,черный металлик,передний привод,1700000,1.6,бензин
ВАЗ (Lada),2170 (седан),2007,Нур-Султан (Астана),седан,,механика,слева,черный металлик,передний привод,1100000,1.6,бензин
Toyota,Mark II,2001,Павлодар,седан,300000.0,автомат,справа,серый,задний привод,4000000,2.5,бензин
Mercedes-Benz,GL 450,2007,Актобе,внедорожник,60000.0,автомат,слева,серый металлик,полный привод,6546000,4.7,газ-бензин
ВАЗ (Lada),2190 (седан),2014,Усть-Каменогорск,седан,125000.0,механика,слева,белый,передний привод,2300000,1.6,бензин
Toyota,Camry,2005,Шымкент,седан,220.0,автомат,слева,черный металлик,,4000000,3.0,бензин
Honda,Jazz,2003,Павлодар,хэтчбек,,механика,слева,голубой,передний привод,3150000,1.4,бензин
Mitsubishi,Diamante,1996,Балхаш,седан,376500.0,автомат,справа,белый,передний привод,1600000,2.5,бензин
Nissan,Teana,2004,Атырау,седан,,автомат,слева,синий,передний привод,1900000,2.3,бензин
Ford,Focus,2017,Алматы,седан,,автомат,слева,серый металлик,передний привод,5500000,1.6,бензин
Mazda,Cronos,1993,Балхаш,седан,,механика,слева,черный,передний привод,1100000,1.8,бензин
Subaru,Forester,2002,Алматы,кроссовер,180000.0,механика,справа,белый,полный привод,2800000,2.0,бензин
Opel,Vectra,1993,Кызылорда,седан,,механика,слева,серебристый,передний привод,800000,2.0,бензин
ВАЗ (Lada),2170 (седан),2007,Павлодар,седан,,механика,слева,бронза металлик,передний привод,1100000,1.6,бензин
Volkswagen,Golf,1995,Актобе,хэтчбек,123456.0,автомат,слева,синий металлик,передний привод,1300000,2.8,бензин
Audi,80,1990,Тараз,седан,14000.0,механика,слева,серебристый металлик,передний привод,650000,1.8,бензин
Kia,Rio,2018,Алматы,хэтчбек,19000.0,автомат,слева,белый,передний привод,7200000,1.6,бензин
Toyota,Camry,2007,Алматы,седан,,автомат,слева,белый,передний привод,5000000,2.4,бензин
Kia,Rio,2014,Нур-Султан (Астана),седан,194000.0,механика,слева,белый,передний привод,2300000,1.4,бензин
BMW,525,1992,Нур-Султан (Астана),седан,,механика,слева,серый,задний привод,1450000,2.5,бензин
Lexus,LX 570,2013,Усть-Каменогорск,внедорожник,82000.0,автомат,слева,черный металлик,полный привод,25000000,5.7,бензин
Mazda,626,1991,Нур-Султан (Астана),универсал,455683.0,механика,слева,белый,передний привод,1000000,2.0,бензин
Lexus,GS 300,2000,Жезказган,седан,,автомат,справа,синий металлик,задний привод,2000000,3.0,газ-бензин
Volkswagen,Golf,1993,Уральск,хэтчбек,87000.0,механика,слева,серебристый металлик,передний привод,600000,1.6,бензин
Volkswagen,Passat,1991,Кызылорда,седан,,механика,слева,вишня,передний привод,1050000,1.8,газ-бензин
Honda,Inspire,2003,Жезказган,седан,,автомат,справа,синий металлик,передний привод,2100000,3.0,бензин
Lexus,RX 270,2015,Актобе,кроссовер,80000.0,автомат,слева,белый,передний привод,14000000,2.7,бензин
Opel,Vectra,1994,Шиели,седан,,механика,слева,бордовый,передний привод,750000,1.6,бензин
Daewoo,Matiz,2010,Шымкент,хэтчбек,3000.0,механика,слева,белый,передний привод,1250000,0.8,газ-бензин
Volkswagen,Touareg,2007,Петропавловск,кроссовер,140265.0,автомат,слева,серебристый,полный привод,4800000,3.6,бензин
Toyota,Camry,2012,Шымкент,седан,152000.0,автомат,слева,серый,передний привод,8200000,2.5,бензин
Mitsubishi,Galant,1992,Алматы,хэтчбек,400000.0,механика,слева,белый металлик,передний привод,1000000,1.8,бензин
BMW,530,2017,Шымкент,седан,19000.0,автомат,слева,черный металлик,задний привод,18000000,2.0,бензин
ВАЗ (Lada),21099 (седан),1994,Актобе,седан,,механика,слева,сиреневый металлик,передний привод,700000,1.6,бензин
ВАЗ (Lada),2112 (хэтчбек),2005,Уральск,хэтчбек,,механика,слева,серый,передний привод,950000,1.6,бензин
Nissan,Patrol,2013,Алматы,внедорожник,66500.0,автомат,слева,белый металлик,,18500000,5.6,бензин
Hyundai,Creta,2018,Нур-Султан (Астана),кроссовер,44000.0,автомат,слева,серебристый металлик,передний привод,7359000,1.6,бензин
Lexus,IS 300,2001,Алматы,универсал,,автомат,слева,серебристый,задний привод,4100000,3.0,бензин
BMW,730,1994,Костанай,седан,,автомат,слева,серебристый,задний привод,2300000,3.0,газ-бензин
Lexus,ES 300,2003,Алматы,седан,,автомат,слева,серебристый,передний привод,5650000,3.0,бензин
ВАЗ (Lada),2110 (седан),1999,Павлодар,седан,280000.0,механика,слева,зеленый,передний привод,480000,1.5,бензин
ВАЗ (Lada),2114 (хэтчбек),2008,Жанаозен,хэтчбек,70000.0,механика,слева,черный,передний привод,1000000,1.6,бензин
ВАЗ (Lada),2190 (седан),2020,Шымкент,седан,15000.0,механика,слева,коричневый металлик,передний привод,4000000,1.6,газ-бензин
ВАЗ (Lada),2101,1977,Семей,седан,,механика,слева,белый металлик,задний привод,300000,1.3,бензин
Toyota,Alphard,2008,Нур-Султан (Астана),минивэн,130000.0,автомат,справа,,полный привод,4000000,2.4,бензин
Toyota,RAV 4,1994,Алматы,внедорожник,273000.0,автомат,справа,зеленый,полный привод,2150000,2.0,бензин
BMW,528,1999,Шымкент,седан,,автомат,слева,серебристый металлик,передний привод,3000000,2.5,бензин
Mercedes-Benz,S 320,2001,Шымкент,седан,180000.0,автомат,слева,синий металлик,задний привод,3100000,3.2,газ-бензин
Volkswagen,Passat,2002,Атырау,седан,418428.0,механика,слева,серый,передний привод,1900000,1.8,бензин
BMW,525,1994,Жезказган,седан,,механика,слева,серебристый,задний привод,1600000,2.5,бензин
Subaru,Outback,2011,Алматы,универсал,128000.0,автомат,справа,белый металлик,полный привод,3700000,2.5,бензин
ВАЗ (Lada),2114 (хэтчбек),2005,Алматы,седан,,механика,слева,серебристый металлик,передний привод,1300000,1.5,бензин
Mercedes-Benz,S 350,1994,Караганда,седан,471500.0,автомат,слева,серебристый,задний привод,2800000,3.0,дизель
BMW,525,1995,Шымкент,седан,,механика,слева,серебристый металлик,задний привод,2200000,2.8,бензин
Toyota,Corolla,1991,Павлодар,седан,,автомат,справа,белый,передний привод,800000,1.5,бензин
ВАЗ (Lada),2114 (хэтчбек),2005,Кокшетау,хэтчбек,180000.0,механика,слева,серый металлик,передний привод,670000,1.5,бензин
ВАЗ (Lada),2114 (хэтчбек),2005,Костанай,хэтчбек,1700000.0,механика,слева,серебристый металлик,передний привод,850000,1.5,бензин
Mercedes-Benz,190,1992,Караганда,седан,356565.0,механика,слева,серый,задний привод,1200000,2.0,бензин
Toyota,RAV 4,2019,Уральск,кроссовер,28000.0,автомат,слева,белый металлик,передний привод,14500000,2.0,бензин
ВАЗ (Lada),2170 (седан),2007,Риддер,седан,,механика,слева,серебристый металлик,передний привод,1500000,1.5,бензин
Nissan,Serena,1995,Нур-Султан (Астана),минивэн,250.0,механика,слева,зеленый,задний привод,1400000,1.6,бензин
Skoda,Octavia,2013,Алматы,хэтчбек,165000.0,автомат,слева,серый,,4200000,1.4,бензин
ВАЗ (Lada),2114 (хэтчбек),2009,Костанай,хэтчбек,147000.0,механика,слева,черный,передний привод,800000,1.4,бензин
Toyota,Camry,1999,Семей,седан,2998888.0,автомат,слева,черный металлик,передний привод,2450000,2.2,бензин
Honda,CR-V,1999,Бишкуль,кроссовер,250000.0,автомат,слева,синий,полный привод,3300000,2.0,газ-бензин
